iCAP 	 Lobe 	 Region 	 Percentile 	 mean z-score 	 voxels 
	 Occipital 	 Cuneus_L 	 52.73 	 2.39 	 203 
	 Occipital 	 Cuneus_R 	 48.09 	 2.22 	 189 
	 Occipital 	 Fusiform_L 	 46.38 	 2.36 	 288 
	 Occipital 	 Fusiform_R 	 43.58 	 2.58 	 302 
	 Limbic 	 Hippocampus_L 	 36.41 	 1.88 	 67 
	 Temporal 	 Temporal_Pole_Mid_R 	 34.20 	 1.95 	 79 
	 Temporal 	 Temporal_Inf_R 	 33.33 	 2.12 	 318 
	 Occipital 	 Occipital_Inf_L 	 32.22 	 2.09 	 77 
	 Occipital 	 Occipital_Sup_L 	 27.81 	 2.14 	 84 
	 Occipital 	 Occipital_Mid_R 	 27.59 	 2.07 	 144 
	 Occipital 	 Occipital_Sup_R 	 25.29 	 2.10 	 86 
	 Temporal 	 Temporal_Pole_Sup_R 	 22.67 	 1.93 	 56 
	 Temporal 	 Temporal_Mid_L 	 21.18 	 1.89 	 258 
	 Limbic 	 Hippocampus_R 	 20.94 	 1.97 	 40 
	 Limbic 	 ParaHippocampal_R 	 19.12 	 2.13 	 52 
	 Parietal 	 Precuneus_R 	 16.81 	 2.05 	 119 
	 Temporal 	 Temporal_Inf_L 	 16.14 	 1.90 	 127 
	 Temporal 	 Temporal_Pole_Mid_L 	 14.69 	 1.85 	 26 
	 Frontal 	 Rectus_R 	 14.14 	 1.88 	 27 
	 Occipital 	 Occipital_Mid_L 	 13.80 	 2.03 	 117 
	 Limbic 	 Amygdala_R 	 12.96 	 1.85 	 7 
	 Temporal 	 Temporal_Mid_R 	 11.35 	 1.92 	 134 
	 Limbic 	 ParaHippocampal_L 	 10.55 	 1.95 	 25 

11	 Frontal 	 Olfactory_L 	 57.35 	 2.46 	 39 
	 Limbic 	 Amygdala_L 	 45.10 	 2.46 	 23 
	 Limbic 	 Cingulum_Ant_R 	 42.86 	 2.80 	 162 
	 Subcortical 	 Caudate_R 	 42.29 	 2.30 	 74 
	 Frontal 	 Frontal_Sup_Orb_L 	 41.84 	 2.56 	 100 
	 Frontal 	 Olfactory_R 	 41.07 	 2.11 	 23 
	 Limbic 	 Hippocampus_L 	 40.76 	 2.27 	 75 
	 Parietal 	 Paracentral_Lobule_R 	 39.10 	 2.37 	 52 
	 Subcortical 	 Caudate_L 	 37.97 	 2.00 	 71 
	 Parietal 	 Paracentral_Lobule_L 	 35.48 	 2.99 	 88 
	 Frontal 	 Frontal_Sup_Orb_R 	 35.19 	 2.28 	 82 
	 Frontal 	 Frontal_Mid_Orb_R 	 33.47 	 2.30 	 84 
	 Temporal 	 Temporal_Inf_L 	 32.40 	 2.65 	 255 
	 Subcortical 	 Thalamus_L 	 31.58 	 2.08 	 42 
	 Frontal 	 Rectus_L 	 31.40 	 2.73 	 65 
	 Frontal 	 Frontal_Inf_Orb_L 	 30.28 	 2.32 	 132 
	 Limbic 	 ParaHippocampal_L 	 26.58 	 2.65 	 63 
	 Limbic 	 ParaHippocampal_R 	 26.47 	 2.42 	 72 
	 Frontal 	 Frontal_Mid_Orb_L 	 25.25 	 2.11 	 50 
	 Frontal 	 Frontal_Sup_Medial_L 	 24.45 	 2.53 	 122 
	 Temporal 	 Temporal_Pole_Sup_L 	 24.24 	 2.47 	 56 
	 Occipital 	 Fusiform_L 	 23.67 	 2.40 	 147 
	 Limbic 	 Cingulum_Ant_L 	 22.22 	 2.04 	 86 
	 Frontal 	 Frontal_Inf_Orb_R 	 19.95 	 2.74 	 84 
	 Frontal 	 Frontal_Sup_Medial_R 	 19.76 	 2.27 	 81 
	 Limbic 	 Cingulum_Mid_R 	 19.10 	 2.16 	 106 
	 Occipital 	 Fusiform_R 	 17.46 	 2.76 	 121 
	 Frontal 	 Frontal_Sup_Orb_Medial_R 	 17.27 	 1.85 	 38 
	 Temporal 	 Temporal_Inf_R 	 16.67 	 2.21 	 159 
	 Limbic 	 Cingulum_Mid_L 	 16.48 	 2.03 	 86 
	 Occipital 	 Lingual_L 	 16.37 	 2.48 	 91 
	 Frontal 	 Frontal_Mid_L 	 15.19 	 2.36 	 144 
	 Limbic 	 Hippocampus_R 	 15.18 	 1.87 	 29 
	 Frontal 	 Frontal_Mid_R 	 14.95 	 2.52 	 167 
	 Limbic 	 Insula_L 	 14.32 	 2.10 	 68 
	 Temporal 	 Temporal_Pole_Sup_R 	 14.17 	 2.85 	 35 
	 Frontal 	 Frontal_Sup_Orb_Medial_L 	 13.56 	 2.22 	 24 
	 Frontal 	 Frontal_Sup_R 	 13.34 	 2.24 	 97 
	 Frontal 	 Rectus_R 	 13.09 	 2.50 	 25 
	 Temporal 	 Temporal_Pole_Mid_L 	 12.99 	 1.98 	 23 
	 Occipital 	 Occipital_Inf_L 	 11.72 	 1.92 	 28 
	 Frontal 	 Frontal_Sup_L 	 10.51 	 2.17 	 64 

12	 Temporal 	 Heschl_L 	 75.00 	 3.91 	 54 
	 Temporal 	 Heschl_R 	 71.83 	 3.63 	 51 
	 Central 	 Rolandic_Oper_R 	 59.66 	 3.03 	 173 
	 Central 	 Rolandic_Oper_L 	 50.45 	 4.12 	 113 
